grid_type,grid_id,age0to15,age15to65,age65plus,total,p_age0to15,p_age15to65,p_age65plus,d_age0to15,d_age15to65,d_age65plus,longitude,latitude
hex_10000km2,473,2188111.3252368793,7358229.19220702,1585209.4045844488,11131549.922028348,0.19656843301819107,0.6610246770439162,0.1424068899378927,0.029104249708051394,0.002296003291369364,-0.031400252999420786,1.9620378924311237,48.76158165436599
hex_10000km2,554,1907062.3908037788,6831387.550879217,1309867.6669880676,10048317.608671062,0.189789222939978,0.6798538637934933,0.1303569132665288,0.02232503962983831,0.021125190040946484,-0.043450229670784685,-0.18168242280103328,51.959033785702815
hex_10000km2,539,1179175.8329628243,5942783.267348408,1928769.4977940945,9050728.598105326,0.13028518314091003,0.6566082722436806,0.2131065446154094,-0.03717900016922965,-0.0021204015088662764,0.039299401678095924,6.919952612906366,51.5208639310206
hex_10000km2,596,1617079.2711577415,5766131.84320699,1519384.6464565434,8902595.760821274,0.18164132289081542,0.64769107776214,0.17066759934704467,0.014177139580675735,-0.011037595990406879,-0.0031395435902688007,-2.180683638343316,53.46080333157709
hex_10000km2,373,1041152.8818480987,4716875.617184811,1591259.334263898,7349287.833296808,0.14166717993150763,0.6418139722075457,0.21651884786094666,-0.025797003378632055,-0.016914701545001187,0.04271170492363319,9.326536877564333,45.69845892861352
hex_10000km2,269,1636248.6075714226,5084408.6496147625,423584.52274296415,7144241.779929149,0.22903040770096245,0.7116792524993724,0.0592903397996652,0.061566224390822766,0.052950578746825516,-0.11451680313764828,29.419849096541224,41.29546679123625
hex_10000km2,268,1418976.8208376823,4467153.283098569,382774.43655229127,6268904.540488543,0.2263516395365465,0.7125891380618213,0.061059222401632106,0.058887456226406815,0.05386046430927449,-0.11274792053568136,28.168334023687983,41.53547656049959
hex_10000km2,556,1048141.0556913541,4094832.973168123,1013959.1051092952,6156933.133968773,0.17023752457349167,0.665076732858488,0.1646857425680202,0.0027733412633519916,0.006348059105941162,-0.009121400369293264,4.502113523808475,52.27049092292197
hex_10000km2,534,1112651.4345835862,3984587.3177614207,1058068.9748251904,6155307.727170197,0.18076292590088092,0.647341691817132,0.1718953822819871,0.013298742590741236,-0.011386981935414875,-0.001911760655326361,-0.7574867453911494,51.063438549915595
hex_10000km2,501,728248.3618488328,3586213.2671487425,1047655.799652241,5362117.428649817,0.13581357953069037,0.6688054327172303,0.19538098775207935,-0.03165060377944931,0.010076758964683408,0.021573844814765875,8.521812026349847,49.87858957192278
hex_10000km2,172,821330.2592603633,3467316.7352399016,879228.5482671125,5167875.542767378,0.15892996115392982,0.6709365785893456,0.17013346025672454,-0.008534222156209859,0.012207904836798789,-0.00367368268058893,-3.9552208214622397,40.51505018962625
hex_10000km2,575,935671.1318308641,3319935.0339649413,883197.6159544929,5138803.781750298,0.18207956006293952,0.6460521115352176,0.171868328401843,0.014615376752799836,-0.012676562217329268,-0.0019388145354704844,-1.1631562934850415,52.71438893640219
