year,age,mortality_sex_ratio
1907,76,1.15006
1907,77,1.13269
1907,78,1.12160
1907,79,1.13118
1907,80,1.15628
1907,81,1.15154
1907,82,1.15116
1907,83,1.16915
1907,84,1.19740
1907,85,1.13553
1907,86,1.13933
1907,87,1.16419
1907,88,1.16140
1907,89,1.13831
1907,90,1.14358
1907,91,1.15219
1907,92,1.14735
1907,93,1.15547
1907,94,1.17846
1907,95,1.20672
1907,96,1.20382
1907,97,1.15393
1907,98,1.06679
1907,99,0.98361
1907,100,1.00834
1908,0,1.25494
1908,1,1.08170
1908,2,1.05483
1908,3,1.02226
1908,4,1.00248
1908,5,0.98932
1908,6,0.98538
1908,7,0.97783
1908,8,0.97095
1908,9,0.96045
1908,10,0.94744
1908,11,0.94345
1908,12,0.94980
1908,13,0.97154
1908,14,1.00884
1908,15,1.04858
1908,16,1.07793
1908,17,1.10494
1908,18,1.13453
1908,19,1.15979
1908,20,1.17636
1908,21,1.17856
1908,22,1.17672
1908,23,1.16638
1908,24,1.15412
1908,25,1.14656
1908,26,1.14319
1908,27,1.16375
1908,28,1.17577
1908,29,1.17248
1908,30,1.17894
1908,31,1.18326
1908,32,1.18732
1908,33,1.19633
1908,34,1.21455
1908,35,1.22686
1908,36,1.23479
1908,37,1.23995
1908,38,1.23619
1908,39,1.24568
1908,40,1.27215
1908,41,1.27736
1908,42,1.25419
1908,43,1.25187
1908,44,1.26751
1908,45,1.27236
1908,46,1.26783
1908,47,1.25467
1908,48,1.24684
1908,49,1.25989
1908,50,1.28410
1908,51,1.29345
1908,52,1.28802
1908,53,1.28207
1908,54,1.29872
1908,55,1.32431
1908,56,1.33337
1908,57,1.33391
1908,58,1.31535
1908,59,1.29884
1908,60,1.30851
1908,61,1.32172
1908,62,1.31902
1908,63,1.29921
1908,64,1.27387
1908,65,1.24748
1908,66,1.22900
1908,67,1.23228
1908,68,1.24349
1908,69,1.25620
1908,70,1.26068
1908,71,1.24422
1908,72,1.23271
1908,73,1.22348
1908,74,1.20454
1908,75,1.18386
1908,76,1.17832
1908,77,1.17253
1908,78,1.15480
1908,79,1.14356
1908,80,1.18457
1908,81,1.18461
1908,82,1.18161
1908,83,1.18451
1908,84,1.21194
1908,85,1.15203
1908,86,1.13619
1908,87,1.13796
1908,88,1.16662
1908,89,1.16099
1908,90,1.12951
1908,91,1.13461
1908,92,1.14295
1908,93,1.13208
1908,94,1.14049
1908,95,1.17393
1908,96,1.21991
1908,97,1.21297
1908,98,1.12592
1908,99,0.98116
1908,100,0.84374
1909,0,1.26225
1909,1,1.06615
1909,2,1.10111
1909,3,0.97179
1909,4,0.99928
1909,5,1.00946
1909,6,0.98259
1909,7,0.94940
1909,8,0.91466
1909,9,0.89308
1909,10,0.89250
1909,11,0.90478
1909,12,0.92878
1909,13,0.96190
1909,14,1.00306
1909,15,1.05061
1909,16,1.08573
1909,17,1.10844
1909,18,1.13275
1909,19,1.15738
1909,20,1.17280
1909,21,1.18379
1909,22,1.18220
1909,23,1.17587
1909,24,1.16279
1909,25,1.14916
1909,26,1.14163
1909,27,1.13651
1909,28,1.15100
1909,29,1.15804
1909,30,1.15426
1909,31,1.16160
1909,32,1.16582
1909,33,1.16865
1909,34,1.17689
1909,35,1.19513
1909,36,1.20609
1909,37,1.21388
1909,38,1.22142
1909,39,1.21969
1909,40,1.23183
1909,41,1.26250
1909,42,1.27266
1909,43,1.25460
1909,44,1.25902
1909,45,1.28148
1909,46,1.29223
1909,47,1.29119
1909,48,1.27894
1909,49,1.27036
1909,50,1.28164
1909,51,1.30246
1909,52,1.30580
1909,53,1.29173
1909,54,1.27587
1909,55,1.28267
1909,56,1.29570
1909,57,1.29255
1909,58,1.28329
1909,59,1.25779
1909,60,1.23694
1909,61,1.24384
1909,62,1.25659
1909,63,1.25570
1909,64,1.23949
1909,65,1.21940
1909,66,1.19978
1909,67,1.18709
1909,68,1.19749
1909,69,1.21586
1909,70,1.23387
1909,71,1.24180
1909,72,1.22618
1909,73,1.21351
1909,74,1.20292
1909,75,1.18234
1909,76,1.16122
1909,77,1.15736
1909,78,1.15426
1909,79,1.13774
1909,80,1.17270
1909,81,1.17358
1909,82,1.17765
